Lat,Long,Country,Country
-6.369028,34.888822,Tanzania,Tanzania
15.870032,100.992541,Thailand,Thailand
13.4432,15.3101,The Gambia,The Gambia
8.619543,0.824782,Togo,Togo
10.691803,-61.222503,Trinidad & Tobago,Trinidad and Tobago
33.886917,9.537499,Tunisia,Tunisia
38.963745,35.243322,Turkey,Turkey
21.694025,-71.797928,Turks & Caicos Islands,Turks and Caicos Islands
18.335765,-64.896335,U.S. Virgin Islands,U.S. Virgin Islands
1.373333,32.290275,Uganda,Uganda
48.379433,31.16558,Ukraine[q],Ukraine[r]
23.424076,53.847818,United Arab Emirates,United Arab Emirates
55.378051,-3.435973,United Kingdom[h],United Kingdom[i]
37.09024,-95.712891,United States[e],United States[f]
-32.522779,-55.765835,Uruguay[ai],Uruguay[am]
41.377491,64.585262,Uzbekistan,Uzbekistan
41.902916,12.453389,Vatican City,Vatican City
6.42375,-66.58973,Venezuela,Venezuela
14.058324,108.277199,Vietnam,Vietnam
15.552727,48.516388,Yemen,Yemen
-13.133897,27.849332,Zambia,Zambia
-19.015438,29.154857,Zimbabwe,Zimbabwe
